source_ip,destination_ip,operation,memory_type,data_type,data_size,number_of_data,block_num,offset,byte_length
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,0,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,60,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,120,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,180,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,240,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,300,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,360,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,420,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,480,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,540,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,600,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,660,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,720,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,780,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,840,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,900,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,960,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1020,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1080,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1140,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1200,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1260,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1320,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1380,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1440,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1500,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1560,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1620,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1680,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1740,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1800,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1860,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1920,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,60,313,1980,60
140.80.0.80,140.80.0.16,write,DB,BYTE,1,20,313,2040,20
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,0,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,60,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,120,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,180,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,240,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,300,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,360,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,420,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,480,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,540,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,600,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,660,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,720,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,780,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,840,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,900,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,960,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1020,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1080,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1140,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1200,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1260,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1320,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1380,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1440,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1500,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1560,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1620,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1680,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1740,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1800,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1860,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1920,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,60,313,1980,60
140.80.0.80,140.80.0.17,write,DB,BYTE,1,20,313,2040,20
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,0,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,60,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,120,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,180,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,240,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,300,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,360,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,420,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,480,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,540,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,600,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,660,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,720,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,780,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,840,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,900,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,960,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1020,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1080,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1140,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1200,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1260,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1320,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1380,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1440,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1500,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1560,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1620,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1680,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1740,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1800,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1860,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1920,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,60,313,1980,60
140.80.0.80,140.80.0.18,write,DB,BYTE,1,20,313,2040,20
140.80.0.80,140.80.0.16,write,DB,BYTE,1,2,305,6,2
140.80.0.80,140.80.0.17,write,DB,BYTE,1,2,305,6,2
140.80.0.80,140.80.0.18,write,DB,BYTE,1,2,305,6,2
140.80.0.80,140.80.0.16,write,DB,BYTE,1,2,305,2,2
140.80.0.80,140.80.0.17,write,DB,BYTE,1,2,305,2,2
140.80.0.80,140.80.0.18,write,DB,BYTE,1,2,305,2,2
140.80.0.80,140.80.0.16,write,DB,BYTE,1,2,305,4,2
140.80.0.80,140.80.0.17,write,DB,BYTE,1,2,305,4,2
140.80.0.80,140.80.0.18,write,DB,BYTE,1,2,305,4,2
